Player,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,PPG,PPP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,EDM,C,82,41,67,108,20,26,1,32,35,5,20,2,7,274,15,21:33,41,4
Claude Giroux,PHI,C,82,34,68,102,28,20,1,24,25,9,36,1,1,193,17,6,20:22,58,6
Nikita Kucherov,TBL,R,80,39,61,100,15,42,1,25,31,8,36,0,7,279,14,19:49,60
Evgeni Malkin,PIT,C,78,42,56,98,16,87,1,26,28,14,38,2,7,239,17,6,18:59,43,7
Nathan MacKinnon,COL,C,74,39,58,97,11,55,1,31,27,12,32,3,12,284,13,7,19:54,41,9
Taylor Hall,NJD,L,76,39,54,93,14,34,1,22,25,13,37,3,7,278,14,19:09,48,7
Anze Kopitar,LAK,C,82,35,57,92,21,20,1,12,28,7,27,0,6,200,17,5,22:05,54,1
Phil Kessel,PIT,R,82,34,58,92,-4,36,1,12,22,12,42,3,6,261,13,18:41,31,6
Blake Wheeler,WPG,R,81,23,68,91,13,52,1,12,17,6,40,0,2,246,9,4,20:15,45,9
Sidney Crosby,PIT,C,82,29,60,89,0,46,1,09,20,9,38,3,6,247,11,7,20:41,53
Alex Ovechkin,WSH,L,82,49,38,87,3,32,1,06,32,17,31,3,7,355,13,8,20:09,37,5
Steven Stamkos,TBL,C,78,27,59,86,18,72,1,1,12,15,33,0,1,212,12,7,18:46,52,2
Brad Marchand,BOS,L,68,34,51,85,25,63,1,25,25,8,23,5,8,182,18,7,19:43,39,7
Mathew Barzal,NYI,C,82,22,63,85,1,30,1,04,17,5,27,1,4,170,12,9,17:46,42,6
Jakub Voracek,PHI,R,82,20,65,85,10,50,1,04,15,5,35,1,3,228,8,8,19:27,44,1
John Tavares,NYI,C,82,37,47,84,-12,26,1,02,23,12,30,2,3,257,14,4,19:56,52,9
Mikko Rantanen,COL,R,81,29,55,84,0,34,1,04,17,12,35,0,3,178,16,3,18:58,51,3
Johnny Gaudreau,CGY,L,80,24,60,84,2,26,1,05,21,3,24,0,4,227,10,6,19:25,20
Evgeny Kuznetsov,WSH,C,79,27,56,83,3,48,1,05,19,7,30,2,8,187,14,4,18:49,44,2
Artemi Panarin,CBJ,L,81,27,55,82,23,26,1,01,20,7,21,1,5,228,11,8,20:08,0
David Pastrnak,BOS,R,82,35,45,80,10,37,0,98,22,13,26,0,5,246,14,2,17:58,20
Jamie Benn,DAL,L,82,36,43,79,20,54,0,96,26,9,22,1,7,241,14,9,19:49,52,5
William Karlsson,VGK,C,82,43,35,78,49,12,0,95,31,8,16,1,6,184,23,4,18:43,48
Tyler Seguin,DAL,C,82,40,38,78,12,43,0,95,25,14,25,1,6,335,11,9,20:55,54,9
Aleksander Barkov,FLA,C,79,27,51,78,9,14,0,99,17,5,17,0,3,256,10,6,22:04,53,5
Eric Staal,MIN,C,82,42,34,76,8,42,0,93,29,11,17,0,4,241,17,4,17:49,51,2
Sean Couturier,PHI,C,82,31,45,76,34,31,0,93,24,7,14,2,6,227,13,7,21:36,52,9
Patrick Kane,CHI,R,82,27,49,76,-20,32,0,93,22,5,22,2,4,285,9,5,20:11,38,9
Vincent Trocheck,FLA,C,82,31,44,75,-9,54,0,91,15,13,27,0,5,287,10,8,21:22,54,1
Jonathan Marchessault,VGK,C,77,27,48,75,36,40,0,97,21,6,16,2,6,268,10,1,17:30,43,5
Alexander Radulov,DAL,R,82,27,45,72,4,72,0,88,20,7,23,2,4,217,12,4,20:08,60
Nicklas Backstrom,WSH,C,81,21,50,71,5,46,0,88,14,7,26,1,4,165,12,7,19:40,51,2
Josh Bailey,NYI,R,76,18,53,71,-20,17,0,93,13,5,31,1,3,151,11,9,17:53,22
Patrik Laine,WPG,R,82,44,26,70,8,24,0,85,24,20,31,0,8,241,18,3,16:29,25,6
Brayden Schenn,STL,C,82,28,42,70,10,56,0,85,20,8,19,2,8,210,13,3,19:44,48
Leon Draisaitl,EDM,C,78,25,45,70,-7,30,0,9,16,6,11,1,1,194,12,9,19:19,56,1
Rickard Rakell,ANA,L,77,34,35,69,6,14,0,9,26,8,18,1,3,230,14,8,19:25,46,5
Jonathan Huberdeau,FLA,L,82,27,42,69,-2,32,0,84,20,7,19,0,4,204,13,2,19:12,47,7
Mitchell Marner,TOR,R,82,22,47,69,-1,26,0,84,14,8,27,0,2,194,11,3,16:23,52,6
John Carlson,WSH,D,82,15,53,68,0,32,0,83,11,4,32,1,4,237,6,3,24:47,0
Mikael Granlund,MIN,C,77,21,46,67,13,18,0,87,13,7,19,0,2,193,10,9,18:47,55,2
Brent Burns,SJS,D,82,12,55,67,-16,46,0,82,7,5,27,1,2,332,3,6,25:15,--
John Klingberg,DAL,D,82,8,59,67,10,26,0,82,7,1,23,0,3,204,3,9,24:04,--
Vladimir Tarasenko,STL,R,80,33,33,66,15,17,0,83,27,6,16,2,5,306,10,8,19:03,25
Brayden Point,TBL,C,82,32,34,66,18,24,0,8,24,5,11,4,12,217,14,8,19:37,47,4
Joe Pavelski,SJS,C,82,22,44,66,0,41,0,8,15,7,23,0,1,224,9,8,19:15,54,9
David Perron,VGK,L,70,16,50,66,1,50,0,94,15,1,18,3,4,125,12,8,17:49,40,3
Sebastian Aho,CAR,C,78,29,36,65,4,24,0,83,21,8,16,0,4,200,14,5,17:55,45,4
Evgenii Dadonov,FLA,R,74,28,37,65,10,8,0,88,22,6,13,0,6,188,14,9,18:42,--
Clayton Keller,ARI,R,82,23,42,65,-7,24,0,79,17,6,20,2,3,212,10,9,18:05,47,4
